"date","weight","calories_in","calories_out","weight_change","calorie_deficit"
2017-01-10,196.7,2629,3970,NA,1341
2017-01-11,196.6,2796,3198,-0.0999999999999943,402
2017-01-12,195.9,3174,3896,-0.699999999999989,722
2017-01-13,196,2811,3306,0.0999999999999943,495
2017-01-14,196.8,3371,4033,0.800000000000011,662
2017-01-15,NA,1914,2990,NA,1076
2017-01-16,196.9,2830,3767,NA,937
2017-01-17,196.9,2630,3452,0,822
2017-01-18,195.8,2600,3678,-1.09999999999999,1078
2017-01-19,195.5,2708,3646,-0.300000000000011,938
2017-01-20,194.5,3081,3625,-1,544
2017-01-21,195.4,2124,2693,0.900000000000006,569
2017-01-22,196.7,2629,3339,1.29999999999998,710
2017-01-23,195.5,3181,4451,-1.19999999999999,1270
2017-01-24,195,3347,3973,-0.5,626
2017-01-25,195.3,3157,3958,0.300000000000011,801
2017-01-26,194.8,2688,3469,-0.5,781
